------------------------------------------------------------
Server listening on UDP port 65525
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 65525 connected with 10.0.0.10 port 47609
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 72.0000-73.0000 sec   949 KBytes  7.77 Mbits/sec   0.032 ms 675/1336 (51%)
[  1] 73.0000-74.0000 sec   950 KBytes  7.79 Mbits/sec   0.034 ms 677/1339 (51%)
[  1] 74.0000-75.0000 sec   949 KBytes  7.77 Mbits/sec   0.045 ms 676/1337 (51%)
[  1] 75.0000-76.0000 sec   950 KBytes  7.79 Mbits/sec   0.065 ms 677/1339 (51%)
[  1] 76.0000-77.0000 sec   949 KBytes  7.77 Mbits/sec   0.026 ms 675/1336 (51%)
[  1] 77.0000-78.0000 sec   949 KBytes  7.77 Mbits/sec   0.027 ms 676/1337 (51%)
[  1] 78.0000-79.0000 sec   950 KBytes  7.79 Mbits/sec   0.856 ms 677/1339 (51%)
[  1] 79.0000-80.0000 sec   949 KBytes  7.77 Mbits/sec   0.056 ms 676/1337 (51%)
[  1] 80.0000-81.0000 sec   949 KBytes  7.77 Mbits/sec   0.098 ms 676/1337 (51%)
[  1] 81.0000-82.0000 sec   950 KBytes  7.79 Mbits/sec   0.203 ms 676/1338 (51%)
[  1] 81.0000-82.0000 sec  1 datagrams received out-of-order
[  1] 82.0000-83.0000 sec   949 KBytes  7.77 Mbits/sec   0.031 ms 676/1337 (51%)
[  1] 83.0000-84.0000 sec   949 KBytes  7.77 Mbits/sec   0.046 ms 676/1337 (51%)
[  1] 84.0000-85.0000 sec   950 KBytes  7.79 Mbits/sec   0.151 ms 677/1339 (51%)
[  1] 85.0000-86.0000 sec   949 KBytes  7.77 Mbits/sec   0.052 ms 675/1336 (51%)
[  1] 86.0000-87.0000 sec   949 KBytes  7.77 Mbits/sec   0.062 ms 676/1337 (51%)
[  1] 87.0000-88.0000 sec   950 KBytes  7.79 Mbits/sec   0.039 ms 677/1339 (51%)
[  1] 88.0000-89.0000 sec   949 KBytes  7.77 Mbits/sec   0.064 ms 676/1337 (51%)
[  1] 89.0000-90.0000 sec   949 KBytes  7.77 Mbits/sec   0.022 ms 675/1336 (51%)
[  1] 90.0000-91.0000 sec   950 KBytes  7.79 Mbits/sec   0.039 ms 677/1339 (51%)
[  1] 91.0000-92.0000 sec   949 KBytes  7.77 Mbits/sec   0.048 ms 676/1337 (51%)
[  1] 92.0000-93.0000 sec   950 KBytes  7.79 Mbits/sec   0.109 ms 676/1338 (51%)
[  1] 93.0000-94.0000 sec   949 KBytes  7.77 Mbits/sec   0.030 ms 676/1337 (51%)
[  1] 94.0000-95.0000 sec   949 KBytes  7.77 Mbits/sec   0.028 ms 676/1337 (51%)
[  1] 95.0000-96.0000 sec   950 KBytes  7.79 Mbits/sec   0.040 ms 677/1339 (51%)
[  1] 96.0000-97.0000 sec   949 KBytes  7.77 Mbits/sec   0.197 ms 675/1336 (51%)
[  1] 97.0000-98.0000 sec   949 KBytes  7.77 Mbits/sec   0.023 ms 676/1337 (51%)
[  1] 98.0000-99.0000 sec   950 KBytes  7.79 Mbits/sec   0.048 ms 677/1339 (51%)
[  1] 99.0000-100.0000 sec   933 KBytes  7.64 Mbits/sec   0.021 ms 664/1314 (51%)
[  1] 100.0000-101.0000 sec  0.000 Bytes  0.000 bits/sec   0.021 ms 0/0 (-nan%)
[  1] 101.0000-102.0000 sec  0.000 Bytes  0.000 bits/sec   0.021 ms 0/0 (-nan%)
