------------------------------------------------------------
Server listening on UDP port 46049
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 46049 connected with 10.0.0.6 port 34475
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 73.0000-74.0000 sec  84.7 KBytes   694 Kbits/sec   0.708 ms 2/61 (3.3%)
[  1] 74.0000-75.0000 sec  77.5 KBytes   635 Kbits/sec   1.013 ms 7/61 (11%)
[  1] 75.0000-76.0000 sec  80.4 KBytes   659 Kbits/sec   0.817 ms 5/61 (8.2%)
[  1] 76.0000-77.0000 sec  83.3 KBytes   682 Kbits/sec   0.865 ms 3/61 (4.9%)
[  1] 77.0000-78.0000 sec  87.6 KBytes   717 Kbits/sec   1.018 ms 0/61 (0%)
[  1] 78.0000-79.0000 sec  86.1 KBytes   706 Kbits/sec   0.552 ms 1/61 (1.6%)
[  1] 79.0000-80.0000 sec  86.1 KBytes   706 Kbits/sec   0.861 ms 1/61 (1.6%)
[  1] 80.0000-81.0000 sec  83.3 KBytes   682 Kbits/sec   1.034 ms 2/60 (3.3%)
[  1] 81.0000-82.0000 sec  87.6 KBytes   717 Kbits/sec   0.720 ms 1/62 (1.6%)
[  1] 82.0000-83.0000 sec  83.3 KBytes   682 Kbits/sec   1.505 ms 3/61 (4.9%)
[  1] 83.0000-84.0000 sec  31.6 KBytes   259 Kbits/sec   0.603 ms 31/53 (58%)
[  1] 84.0000-85.0000 sec  83.3 KBytes   682 Kbits/sec   0.714 ms 10/68 (15%)
[  1] 85.0000-86.0000 sec  83.3 KBytes   682 Kbits/sec   1.426 ms 3/61 (4.9%)
[  1] 86.0000-87.0000 sec  83.3 KBytes   682 Kbits/sec   0.712 ms 3/61 (4.9%)
[  1] 87.0000-88.0000 sec  83.3 KBytes   682 Kbits/sec   0.739 ms 3/61 (4.9%)
[  1] 88.0000-89.0000 sec  80.4 KBytes   659 Kbits/sec   0.744 ms 5/61 (8.2%)
[  1] 89.0000-90.0000 sec  83.3 KBytes   682 Kbits/sec   0.627 ms 3/61 (4.9%)
[  1] 90.0000-91.0000 sec  80.4 KBytes   659 Kbits/sec   1.312 ms 5/61 (8.2%)
[  1] 91.0000-92.0000 sec  83.3 KBytes   682 Kbits/sec   0.628 ms 3/61 (4.9%)
[  1] 92.0000-93.0000 sec  81.8 KBytes   670 Kbits/sec   0.625 ms 4/61 (6.6%)
[  1] 93.0000-94.0000 sec  81.8 KBytes   670 Kbits/sec   0.766 ms 4/61 (6.6%)
[  1] 94.0000-95.0000 sec  83.3 KBytes   682 Kbits/sec   1.036 ms 3/61 (4.9%)
[  1] 95.0000-96.0000 sec  83.3 KBytes   682 Kbits/sec   1.139 ms 3/61 (4.9%)
[  1] 96.0000-97.0000 sec  83.3 KBytes   682 Kbits/sec   0.980 ms 3/61 (4.9%)
[  1] 97.0000-98.0000 sec  80.4 KBytes   659 Kbits/sec   0.722 ms 5/61 (8.2%)
[  1] 98.0000-99.0000 sec  84.7 KBytes   694 Kbits/sec   1.115 ms 2/61 (3.3%)
[  1] 99.0000-100.0000 sec  83.3 KBytes   682 Kbits/sec   0.920 ms 3/61 (4.9%)
[  1] 100.0000-101.0000 sec  81.8 KBytes   670 Kbits/sec   1.388 ms 3/60 (5%)
[  1] 101.0000-102.0000 sec  84.7 KBytes   694 Kbits/sec   1.128 ms 3/62 (4.8%)
[  1] 102.0000-103.0000 sec  79.0 KBytes   647 Kbits/sec   0.757 ms 5/60 (8.3%)
[  1] 103.0000-104.0000 sec  81.8 KBytes   670 Kbits/sec   1.442 ms 4/61 (6.6%)
[  1] 104.0000-105.0000 sec  86.1 KBytes   706 Kbits/sec   0.909 ms 1/61 (1.6%)
[  1] 105.0000-106.0000 sec  86.1 KBytes   706 Kbits/sec   1.194 ms 1/61 (1.6%)
[  1] 106.0000-107.0000 sec  84.7 KBytes   694 Kbits/sec   0.913 ms 2/61 (3.3%)
[  1] 107.0000-108.0000 sec  81.8 KBytes   670 Kbits/sec   0.465 ms 3/60 (5%)
[  1] 108.0000-109.0000 sec  79.0 KBytes   647 Kbits/sec   0.730 ms 7/62 (11%)
[  1] 109.0000-110.0000 sec  84.7 KBytes   694 Kbits/sec   0.451 ms 2/61 (3.3%)
[  1] 110.0000-111.0000 sec  86.1 KBytes   706 Kbits/sec   0.718 ms 1/61 (1.6%)
