------------------------------------------------------------
Server listening on UDP port 22760
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 22760 connected with 10.0.0.4 port 55799
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 67.0000-68.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.069 ms 16096/17832 (90%)
[  1] 68.0000-69.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.075 ms 16095/17831 (90%)
[  1] 69.0000-70.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.070 ms 16097/17833 (90%)
[  1] 70.0000-71.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.086 ms 16094/17830 (90%)
[  1] 71.0000-72.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.073 ms 16097/17833 (90%)
[  1] 72.0000-73.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.429 ms 16107/17780 (91%)
[  1] 73.0000-74.0000 sec  2.38 MBytes  20.0 Mbits/sec   0.460 ms 16151/17852 (90%)
[  1] 74.0000-75.0000 sec  2.37 MBytes  19.9 Mbits/sec   0.364 ms 16153/17844 (91%)
[  1] 75.0000-76.0000 sec  2.32 MBytes  19.5 Mbits/sec   0.368 ms 16165/17823 (91%)
[  1] 76.0000-77.0000 sec  2.37 MBytes  19.9 Mbits/sec   0.347 ms 16136/17829 (91%)
[  1] 77.0000-78.0000 sec  2.38 MBytes  19.9 Mbits/sec   0.359 ms 16149/17844 (91%)
[  1] 78.0000-79.0000 sec  2.36 MBytes  19.8 Mbits/sec   0.396 ms 16126/17811 (91%)
[  1] 79.0000-80.0000 sec  2.36 MBytes  19.8 Mbits/sec   0.401 ms 16158/17841 (91%)
[  1] 80.0000-81.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.407 ms 16159/17834 (91%)
[  1] 81.0000-82.0000 sec  2.34 MBytes  19.7 Mbits/sec   0.453 ms 16160/17831 (91%)
[  1] 82.0000-83.0000 sec  2.32 MBytes  19.4 Mbits/sec   0.354 ms 16190/17843 (91%)
[  1] 83.0000-84.0000 sec  2.34 MBytes  19.7 Mbits/sec   0.505 ms 16139/17810 (91%)
[  1] 84.0000-85.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.437 ms 16159/17832 (91%)
[  1] 85.0000-86.0000 sec  2.39 MBytes  20.0 Mbits/sec   0.346 ms 16161/17864 (90%)
[  1] 86.0000-87.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.375 ms 16137/17811 (91%)
[  1] 87.0000-88.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.382 ms 16183/17861 (91%)
[  1] 88.0000-89.0000 sec  2.37 MBytes  19.9 Mbits/sec   0.310 ms 16130/17823 (91%)
[  1] 89.0000-90.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.416 ms 16150/17823 (91%)
[  1] 90.0000-91.0000 sec  2.38 MBytes  19.9 Mbits/sec   0.453 ms 16128/17824 (90%)
[  1] 91.0000-92.0000 sec  2.37 MBytes  19.8 Mbits/sec   0.418 ms 16153/17840 (91%)
[  1] 92.0000-93.0000 sec  2.37 MBytes  19.8 Mbits/sec   0.428 ms 16146/17833 (91%)
[  1] 93.0000-94.0000 sec  2.37 MBytes  19.8 Mbits/sec   0.429 ms 16145/17832 (91%)
[  1] 94.0000-95.0000 sec  2.36 MBytes  19.8 Mbits/sec   0.334 ms 16160/17840 (91%)
[  1] 95.0000-96.0000 sec  2.34 MBytes  19.7 Mbits/sec   0.491 ms 16142/17814 (91%)
[  1] 96.0000-97.0000 sec  2.37 MBytes  19.9 Mbits/sec   0.438 ms 16161/17852 (91%)
[  1] 97.0000-98.0000 sec  2.34 MBytes  19.6 Mbits/sec   0.335 ms 16171/17841 (91%)
[  1] 98.0000-99.0000 sec  2.34 MBytes  19.7 Mbits/sec   0.458 ms 16142/17813 (91%)
[  1] 99.0000-100.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.583 ms 16163/17841 (91%)
[  1] 100.0000-101.0000 sec  2.34 MBytes  19.6 Mbits/sec   0.411 ms 16175/17841 (91%)
[  1] 101.0000-102.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.324 ms 16164/17843 (91%)
[  1] 102.0000-103.0000 sec  2.34 MBytes  19.7 Mbits/sec   0.428 ms 16150/17821 (91%)
[  1] 103.0000-104.0000 sec  2.34 MBytes  19.7 Mbits/sec   0.367 ms 16159/17831 (91%)
[  1] 104.0000-105.0000 sec  2.34 MBytes  19.6 Mbits/sec   0.504 ms 16145/17811 (91%)
[  1] 105.0000-106.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.423 ms 16156/17832 (91%)
[  1] 106.0000-107.0000 sec  2.36 MBytes  19.8 Mbits/sec   0.301 ms 16169/17853 (91%)
[  1] 107.0000-108.0000 sec  2.37 MBytes  19.9 Mbits/sec   0.348 ms 16142/17832 (91%)
[  1] 108.0000-109.0000 sec  2.33 MBytes  19.5 Mbits/sec   0.280 ms 16182/17842 (91%)
[  1] 109.0000-110.0000 sec  2.34 MBytes  19.6 Mbits/sec   0.341 ms 16143/17811 (91%)
[  1] 110.0000-111.0000 sec  2.36 MBytes  19.8 Mbits/sec   0.326 ms 16159/17843 (91%)
[  1] 111.0000-112.0000 sec  2.36 MBytes  19.8 Mbits/sec   0.478 ms 16173/17854 (91%)
[  1] 112.0000-113.0000 sec  2.33 MBytes  19.5 Mbits/sec   0.428 ms 16140/17801 (91%)
[  1] 113.0000-114.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.325 ms 16184/17862 (91%)
[  1] 114.0000-115.0000 sec  2.33 MBytes  19.5 Mbits/sec   0.342 ms 16151/17812 (91%)
[  1] 115.0000-116.0000 sec  2.33 MBytes  19.6 Mbits/sec   0.366 ms 16180/17844 (91%)
[  1] 116.0000-117.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.428 ms 16152/17829 (91%)
[  1] 117.0000-118.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.389 ms 16144/17823 (91%)
[  1] 118.0000-119.0000 sec  2.36 MBytes  19.8 Mbits/sec   0.338 ms 16172/17852 (91%)
[  1] 119.0000-120.0000 sec  2.36 MBytes  19.8 Mbits/sec   0.477 ms 16138/17822 (91%)
[  1] 120.0000-121.0000 sec  2.34 MBytes  19.6 Mbits/sec   0.307 ms 16176/17842 (91%)
[  1] 121.0000-122.0000 sec  2.35 MBytes  19.7 Mbits/sec   0.348 ms 16153/17832 (91%)
[  1] 122.0000-123.0000 sec  2.34 MBytes  19.6 Mbits/sec   0.365 ms 16178/17844 (91%)
[  1] 122.0000-123.0000 sec  1 datagrams received out-of-order
[  1] 123.0000-124.0000 sec  2.37 MBytes  19.8 Mbits/sec   0.405 ms 16134/17821 (91%)
[  1] 124.0000-125.0000 sec  2.37 MBytes  19.9 Mbits/sec   0.338 ms 16143/17832 (91%)
[  1] 125.0000-125.9943 sec  2.27 MBytes  19.1 Mbits/sec   1.445 ms 15813/17430 (91%)
[  1] 0.0000-125.9943 sec   302 MBytes  20.1 Mbits/sec   1.445 ms 2031370/2246953 (90%)
[  1] 0.0000-125.9943 sec  72 datagrams received out-of-order
[  3] WARNING: ack of last datagram failed.
