------------------------------------------------------------
Server listening on TCP port 50793
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.8 port 50793 connected with 10.0.0.6 port 51694 (icwnd/mss/irtt=14/1448/41000)
[ ID] Interval       Transfer     Bandwidth
[  1] 178.0000-179.0000 sec   298 KBytes  2.44 Mbits/sec
[  1] 179.0000-180.0000 sec   563 KBytes  4.61 Mbits/sec
[  1] 180.0000-181.0000 sec   331 KBytes  2.71 Mbits/sec
[  1] 181.0000-182.0000 sec   482 KBytes  3.95 Mbits/sec
[  1] 182.0000-183.0000 sec   407 KBytes  3.34 Mbits/sec
[  1] 183.0000-184.0000 sec   448 KBytes  3.67 Mbits/sec
[  1] 184.0000-185.0000 sec   335 KBytes  2.75 Mbits/sec
[  1] 185.0000-186.0000 sec   219 KBytes  1.80 Mbits/sec
[  1] 186.0000-187.0000 sec   375 KBytes  3.07 Mbits/sec
[  1] 187.0000-188.0000 sec   529 KBytes  4.33 Mbits/sec
[  1] 188.0000-189.0000 sec   503 KBytes  4.12 Mbits/sec
[  1] 189.0000-190.0000 sec   279 KBytes  2.28 Mbits/sec
[  1] 190.0000-191.0000 sec   139 KBytes  1.14 Mbits/sec
[  1] 191.0000-192.0000 sec  80.6 KBytes   660 Kbits/sec
[  1] 192.0000-193.0000 sec   143 KBytes  1.17 Mbits/sec
[  1] 193.0000-194.0000 sec   501 KBytes  4.10 Mbits/sec
[  1] 194.0000-195.0000 sec   632 KBytes  5.18 Mbits/sec
[  1] 195.0000-196.0000 sec   215 KBytes  1.76 Mbits/sec
[  1] 196.0000-197.0000 sec   527 KBytes  4.32 Mbits/sec
[  1] 197.0000-198.0000 sec   464 KBytes  3.80 Mbits/sec
[  1] 198.0000-199.0000 sec   628 KBytes  5.14 Mbits/sec
[  1] 199.0000-200.0000 sec   266 KBytes  2.18 Mbits/sec
[  1] 200.0000-201.0000 sec   229 KBytes  1.88 Mbits/sec
[  1] 201.0000-202.0000 sec   443 KBytes  3.63 Mbits/sec
[  1] 202.0000-203.0000 sec   281 KBytes  2.31 Mbits/sec
