------------------------------------------------------------
Server listening on TCP port 58364
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.7 port 58364 connected with 10.0.0.4 port 46948 (icwnd/mss/irtt=14/1448/15415)
[ ID] Interval       Transfer     Bandwidth
[  1] 249.0000-250.0000 sec   871 KBytes  7.14 Mbits/sec
[  1] 250.0000-251.0000 sec   663 KBytes  5.43 Mbits/sec
[  1] 251.0000-252.0000 sec   658 KBytes  5.39 Mbits/sec
[  1] 252.0000-253.0000 sec   621 KBytes  5.09 Mbits/sec
[  1] 253.0000-254.0000 sec   450 KBytes  3.68 Mbits/sec
[  1] 254.0000-255.0000 sec   816 KBytes  6.68 Mbits/sec
[  1] 255.0000-256.0000 sec   916 KBytes  7.51 Mbits/sec
[  1] 256.0000-257.0000 sec   580 KBytes  4.75 Mbits/sec
[  1] 257.0000-258.0000 sec   594 KBytes  4.87 Mbits/sec
[  1] 258.0000-259.0000 sec   587 KBytes  4.81 Mbits/sec
[  1] 259.0000-260.0000 sec   672 KBytes  5.50 Mbits/sec
[  1] 260.0000-261.0000 sec   764 KBytes  6.26 Mbits/sec
[  1] 261.0000-262.0000 sec   469 KBytes  3.85 Mbits/sec
[  1] 262.0000-263.0000 sec   929 KBytes  7.61 Mbits/sec
[  1] 263.0000-264.0000 sec   550 KBytes  4.51 Mbits/sec
[  1] 264.0000-265.0000 sec   556 KBytes  4.55 Mbits/sec
[  1] 265.0000-266.0000 sec   608 KBytes  4.98 Mbits/sec
[  1] 266.0000-267.0000 sec   515 KBytes  4.22 Mbits/sec
[  1] 267.0000-268.0000 sec   648 KBytes  5.31 Mbits/sec
[  1] 268.0000-269.0000 sec   691 KBytes  5.66 Mbits/sec
[  1] 269.0000-270.0000 sec   578 KBytes  4.74 Mbits/sec
[  1] 270.0000-271.0000 sec   747 KBytes  6.12 Mbits/sec
[  1] 271.0000-272.0000 sec   919 KBytes  7.53 Mbits/sec
[  1] 272.0000-273.0000 sec   539 KBytes  4.41 Mbits/sec
[  1] 273.0000-274.0000 sec   662 KBytes  5.42 Mbits/sec
[  1] 274.0000-275.0000 sec   636 KBytes  5.21 Mbits/sec
[  1] 275.0000-276.0000 sec   628 KBytes  5.14 Mbits/sec
[  1] 276.0000-277.0000 sec   814 KBytes  6.67 Mbits/sec
[  1] 277.0000-278.0000 sec   690 KBytes  5.65 Mbits/sec
[  1] 278.0000-279.0000 sec   581 KBytes  4.76 Mbits/sec
[  1] 279.0000-280.0000 sec   680 KBytes  5.57 Mbits/sec
[  1] 280.0000-281.0000 sec   489 KBytes  4.01 Mbits/sec
[  1] 281.0000-282.0000 sec  1.13 MBytes  9.51 Mbits/sec
[  1] 282.0000-283.0000 sec   730 KBytes  5.98 Mbits/sec
[  1] 283.0000-284.0000 sec   737 KBytes  6.04 Mbits/sec
[  1] 284.0000-285.0000 sec   544 KBytes  4.46 Mbits/sec
[  1] 285.0000-286.0000 sec   752 KBytes  6.16 Mbits/sec
[  1] 286.0000-287.0000 sec   440 KBytes  3.60 Mbits/sec
[  1] 287.0000-288.0000 sec   580 KBytes  4.75 Mbits/sec
[  1] 288.0000-289.0000 sec   568 KBytes  4.66 Mbits/sec
[  1] 289.0000-290.0000 sec   472 KBytes  3.87 Mbits/sec
[  1] 290.0000-291.0000 sec   706 KBytes  5.78 Mbits/sec
